,Unnamed: 0,Time,X_velocity,Y_velocity,Z_velocity,X_angular,Y_angular,Z_angular,X_acceleration,Y_acceleration,Z_acceleration,Vertical_Speed,Pitch,Bank,Yaw,IAS,Greyout,IOP,Blood_Pressure,Temperature,Breath,SPO2,OPP
367,367,6.644,-72.12892914,-68.41853333,133.8441315,0.008426308,-0.00812201,-0.079878546,0.046086386,-0.829754829,0.019382119,-68.41853333,-0.499257237,0.045016017,2.068650723,143.0697327,0,13.081022952121042,115.25703365724098,36.41211449578696,16.16521189525433,98.22584610931926,102.17601070511994
368,368,6.661,-72.09296417,-68.76026154,133.7848969,0.008680306,-0.007921269,-0.078856289,0.045192625,-0.820753217,0.020057682,-68.76026154,-0.500847995,0.045139264,2.068751812,143.1421661,0,13.081353060994148,115.22797294472562,36.411751745830564,16.167822419127035,98.21998700261429,102.14661988373147
369,369,6.679,-72.09296417,-68.76026154,133.7848969,0.008680306,-0.007921269,-0.078856289,0.045192625,-0.820753217,0.020057682,-68.76026154,-0.500847995,0.045139264,2.068751812,143.1421661,0,13.081353060994148,115.22797294472562,36.411751745830564,16.167822419127035,98.21998700261429,102.14661988373147
370,370,6.696,-72.05685425,-69.10187531,133.7254791,0.008933484,-0.007720551,-0.077834032,0.045200609,-0.820748448,0.020055801,-69.10187531,-0.50241816,0.045269206,2.068849087,143.2154999,0,13.080929483430614,115.22795754917323,36.41138833238323,16.16911853983471,98.2194431483884,102.14702806574262
371,371,6.713,-72.02116394,-69.44159698,133.6664276,0.009178416,-0.007516174,-0.076975368,0.044259101,-0.811112523,0.020668956,-69.44159698,-0.503969729,0.045405824,2.06894207,143.2897186,0,13.081330406216598,115.19685170019746,36.411028029815924,16.17185665462841,98.21319514949477,102.11552129398086
372,372,6.73,-71.9853363,-69.78121185,133.6072083,0.009422586,-0.00731182,-0.076116703,0.044265747,-0.81110853,0.020667145,-69.78121185,-0.505503953,0.045549106,2.069031239,143.3648071,0,13.08092191033262,115.1968388109179,36.41066709776803,16.173183657615407,98.21263880848802,102.11591690058528
373,373,6.747,-71.94992828,-70.11884308,133.5483856,0.009657809,-0.007105095,-0.075416125,0.043289624,-0.80099684,0.021217085,-70.11884308,-0.507022738,0.04569903,2.069116592,143.4407501,0,13.081376879301867,115.1642001158133,36.410309325651,16.176025210867692,98.20609607074216,102.08282323651143
374,374,6.764,-71.91439056,-70.45637512,133.4893951,0.009892325,-0.006898394,-0.074715547,0.04329503,-0.800993681,0.021215346,-70.45637512,-0.508527339,0.045855578,2.069198132,143.5175323,0,13.080980224762929,115.16418991961288,36.40995095812979,16.177382009642383,98.20552772738498,102.08320969484996
375,375,6.782,-71.87929535,-70.79188538,133.4308624,0.010117212,-0.006690564,-0.074166514,0.042296171,-0.790557325,0.021701634,-70.79188538,-0.5100196,0.046018686,2.069274426,143.5951538,0,13.081472949531042,115.13050646379193,36.40959588540555,16.180304086270578,98.19877991534123,102.04903351426088
376,376,6.798,-71.87929535,-70.79188538,133.4308624,0.010117212,-0.006690564,-0.074166514,0.042296171,-0.790557325,0.021701634,-70.79188538,-0.5100196,0.046018686,2.069274426,143.5951538,0,13.081472949531042,115.13050646379193,36.40959588540555,16.180304086270578,98.19877991534123,102.04903351426088
377,377,6.816,-71.84406281,-71.12728882,133.3721466,0.010341444,-0.006482757,-0.073617488,0.042300433,-0.790554821,0.021699971,-71.12728882,-0.511500716,0.046188343,2.069346905,143.673584,0,13.081084929966083,115.13049838249452,36.40924018321144,16.181689899777584,98.19819980096544,102.04941345252844
